id,first_name,last_name,full_name,team,position,status,hashtag,gsis_id,sleeper_id,sportradar_id,stats_id,swish_id,yahoo_id,rotowire_id,rotoworld_id,espn_id,fantasy_data_id
277,Denzel,Mims,Denzel Mims,NYJ,WR,Active,#denzelmims-NFL-NYJ-11,,6849,adfc13b3-1eb6-49f3-9ba6-d4d87fd13685,,934331,32729,14539,,4035403,21741
278,Travis,Etienne,Travis Etienne,JAX,RB,Active,#travisetienne-NFL-JAX-1,,7543,970693f0-0af4-4627-ac0c-bf519f7433ee,,978577,,15385,,,
279,Curtis,Hodges,Curtis Hodges,WAS,TE,Inactive,#curtishodges-NFL-WAS-80,,8192,8987eae0-ca60-11ec-a405-85147f12d5b8,,974631,,16043,,,
280,Jesse,James,Jesse James,CLE,TE,Inactive,#jessejames-NFL-CLE-81,00-0032135,2463,a37a5bfd-b48c-4d8b-817a-d8ce7ca3592d,652019,652019,28548,10150,10403,2979590,16920
281,Zamir,White,Zamir White,LV,RB,Active,#zamirwhite-NFL-LV-35,,8139,440d7750-672e-4293-8eb0-89b241a498eb,,1110697,,15852,,,
282,Isaiah,Coulter,Isaiah Coulter,CHI,WR,Active,#isaiahcoulter-NFL-CHI-82,,7085,0063fe36-d8c2-43e6-8ab1-af890eb58cea,,1054229,32841,14537,,4248504,21967
283,Stefon,Diggs,Stefon Diggs,BUF,WR,Active,#stefondiggs-NFL-BUF-14,00-0031588,2449,a1c40664-b265-4083-aad2-54b4c734f2c5,694041,694041,28534,10133,10380,2976212,16906
284,Tanner,Conner,Tanner Conner,MIA,TE,Active,#tannerconner-NFL-MIA-80,,8849,4f2ecf70-d3b2-11ec-96a0-c3471a31202c,,946261,,16338,,,
285,Robbie,Anderson,Robbie Anderson,CAR,WR,Active,#robbieanderson-NFL-CAR-3,00-0032688,3423,e81fb788-1478-4936-ae12-f6ed7ec23476,608360,608360,29785,11191,11627,2574808,18187
286,Jared,Pinkney,Jared Pinkney,LAR,TE,Active,#jaredpinkney-NFL-LAR-46,,6834,3d2f2c64-3d4e-461b-a3e7-677f74e6c5f8,,879955,33064,14632,,3915772,21676
287,Josiah,Deguara,Josiah Deguara,GB,TE,Active,#josiahdeguara-NFL-GB-81,,7050,7874d188-0fcd-4af9-9289-27c27e2bbd16,,866149,32764,14629,,3914151,21798
